county,borough,language,speaker_num,lang_family
81,Queens,Spanish,524568,Indo-European
61,Manhattan,Spanish,340566,Indo-European
5,Bronx,Spanish,651874,Indo-European
47,Brooklyn,Spanish,399775,Indo-European
85,Staten Island,Spanish,46850,Indo-European
81,Queens,French,10735,Indo-European
61,Manhattan,French,36896,Indo-European
5,Bronx,French,15385,Indo-European
47,Brooklyn,French,20007,Indo-European
85,Staten Island,French,1739,Indo-European
81,Queens,French Creole,24365,Indo-European
61,Manhattan,French Creole,2771,Indo-European
5,Bronx,French Creole,5295,Indo-European
47,Brooklyn,French Creole,76337,Indo-European
85,Staten Island,French Creole,229,Indo-European
81,Queens,Italian,21610,Indo-European
61,Manhattan,Italian,9409,Indo-European
5,Bronx,Italian,8653,Indo-European
47,Brooklyn,Italian,20010,Indo-European
85,Staten Island,Italian,11950,Indo-European
81,Queens,Portuguese,6006,Indo-European
61,Manhattan,Portuguese,6994,Indo-European
5,Bronx,Portuguese,1686,Indo-European
47,Brooklyn,Portuguese,2813,Indo-European
85,Staten Island,Portuguese,175,Indo-European
81,Queens,German,4999,Indo-European
61,Manhattan,German,8446,Indo-European
5,Bronx,German,950,Indo-European
47,Brooklyn,German,5671,Indo-European
85,Staten Island,German,789,Indo-European
81,Queens,Yiddish,2060,Indo-European
61,Manhattan,Yiddish,1208,Indo-European
5,Bronx,Yiddish,384,Indo-European
47,Brooklyn,Yiddish,87859,Indo-European
85,Staten Island,Yiddish,155,Indo-European
81,Queens,Other Germanic,807,Indo-European
61,Manhattan,Other Germanic,947,Indo-European
5,Bronx,Other Germanic,47,Indo-European
47,Brooklyn,Other Germanic,1725,Indo-European
85,Staten Island,Other Germanic,0,Indo-European
81,Queens,Other Scandinavian,248,Indo-European
61,Manhattan,Other Scandinavian,3231,Indo-European
5,Bronx,Other Scandinavian,77,Indo-European
47,Brooklyn,Other Scandinavian,2203,Indo-European
85,Staten Island,Other Scandinavian,107,Indo-European
81,Queens,Greek,27388,Indo-European
61,Manhattan,Greek,3807,Indo-European
5,Bronx,Greek,2143,Indo-European
47,Brooklyn,Greek,7376,Indo-European
85,Staten Island,Greek,1441,Indo-European
81,Queens,Russian,41759,Indo-European
61,Manhattan,Russian,13194,Indo-European
5,Bronx,Russian,4429,Indo-European
47,Brooklyn,Russian,128359,Indo-European
85,Staten Island,Russian,12487,Indo-European
81,Queens,Polish,26044,Indo-European
61,Manhattan,Polish,2639,Indo-European
5,Bronx,Polish,1638,Indo-European
47,Brooklyn,Polish,19956,Indo-European
85,Staten Island,Polish,5680,Indo-European
81,Queens,Serbo-Croatian,9959,Indo-European
61,Manhattan,Serbo-Croatian,4288,Indo-European
5,Bronx,Serbo-Croatian,1840,Indo-European
47,Brooklyn,Serbo-Croatian,3296,Indo-European
85,Staten Island,Serbo-Croatian,1834,Indo-European
81,Queens,Other Slavic,7294,Indo-European
61,Manhattan,Other Slavic,2674,Indo-European
5,Bronx,Other Slavic,1357,Indo-European
47,Brooklyn,Other Slavic,7077,Indo-European
85,Staten Island,Other Slavic,2822,Indo-European
